Metric	LowerBound	Q1	Median	Q3	UpperBound
ClusterDensity	756	1022	1074	1234	1392
PerClustersPF	80.565	85.54	89.34	91.39	98.115
ReadsPF_M	12.655	16.19	17.89	19.68	23.125
TotalYield_GB	6.485	8.305	9.2	10.115	11.915
PerGtQ30	74.475	80.28	83.52	86.31	92.565
PerReadsIdentified	95.54	96.62	97.28	97.78	99.02
IndexingCV	0.069	0.2185	0.255	0.3425	0.
